 number of blocks                 500
 number of per block                1
 output frequency                   1
 temperature               0.00006967
 Nose-Hoover                F
 Maximum single part. disp.  0.440000
 
 Quantum Langevin dyn. with PIOUD integrator
 
 *************************************
 PIOUD integrator parameters
 time step = 0.4400000000000000
 friction (gamma) = 4.440000000000000E-02
 delta0 = 0.000000000000000E+00
 second order Trotter beakup
 Quantum MD: Path integral Langevin!!!!
 Generalized dynamics in the bead eigenmodes
 delta0k, delta0q = 1.000000000000000 0.000000000000000E+00
  Warning  delta_0 >= dt !!! Changed to  0.4400000000000000
 *************************************
 initial potential =    -37.2063


 start of dynamics 




1)block   2)nmove   3)H   4)H_Nosé   5)E_pot   6)E_kin   7)Temp(Ha)   8)Temp(K)   9)quantum_kin_virial   10)quantum_kin_primitive  
    94     1  -36.36726       0.000000      -37.24623      0.8789743      0.7153111E-04   22.58774      0.1042367      0.1101739    
    95     1  -36.38430       0.000000      -37.24508      0.8607724      0.7004983E-04   22.11999      0.1066238      0.1069550    
    96     1  -36.37885       0.000000      -37.24411      0.8652615      0.7041516E-04   22.23535      0.1070438      0.1072803    
    97     1  -36.37961       0.000000      -37.24245      0.8628477      0.7021873E-04   22.17332      0.1066547      0.1065736    
    98     1  -36.37553       0.000000      -37.24203      0.8665000      0.7051595E-04   22.26717      0.1036747      0.1062171    
    99     1  -36.39293       0.000000      -37.24434      0.8514150      0.6928833E-04   21.87952      0.9949191E-01  0.1066934    
   100     1  -36.39154       0.000000      -37.24655      0.8550079      0.6958072E-04   21.97185      0.9450391E-01  0.1061256    
   101     1  -36.39931       0.000000      -37.24949      0.8501774      0.6918761E-04   21.84772      0.9056169E-01  0.1045234    
   102     1  -36.39549       0.000000      -37.24932      0.8538288      0.6948476E-04   21.94155      0.8979206E-01  0.1041628    
   103     1  -36.39003       0.000000      -37.24843      0.8584006      0.6985682E-04   22.05904      0.9066848E-01  0.1040565    
   104     1  -36.40053       0.000000      -37.24815      0.8476266      0.6898003E-04   21.78217      0.9098421E-01  0.9908965E-01
   105     1  -36.39610       0.000000      -37.24727      0.8511758      0.6926886E-04   21.87338      0.9085521E-01  0.9824224E-01
   106     1  -36.40116       0.000000      -37.24773      0.8465661      0.6889373E-04   21.75492      0.9125334E-01  0.1001816    
   107     1  -36.40542       0.000000      -37.24771      0.8422912      0.6854584E-04   21.64506      0.9265629E-01  0.1033669    
   108     1  -36.38656       0.000000      -37.24759      0.8610307      0.7007086E-04   22.12663      0.9396023E-01  0.1061882    
   109     1  -36.39281       0.000000      -37.24792      0.8551038      0.6958852E-04   21.97432      0.9306039E-01  0.1086762    
   110     1  -36.39601       0.000000      -37.24691      0.8508998      0.6924641E-04   21.86629      0.9344049E-01  0.1032611    
   111     1  -36.39930       0.000000      -37.24582      0.8465235      0.6889026E-04   21.75382      0.9702187E-01  0.9214352E-01
   112     1  -36.39728       0.000000      -37.24647      0.8491812      0.6910654E-04   21.82212      0.1002676      0.8743193E-01
   113     1  -36.39875       0.000000      -37.24544      0.8466903      0.6890383E-04   21.75811      0.1031642      0.9015019E-01
   114     1  -36.39544       0.000000      -37.24359      0.8481543      0.6902298E-04   21.79573      0.1058176      0.9648251E-01
   115     1  -36.37701       0.000000      -37.24334      0.8663362      0.7050262E-04   22.26297      0.1057390      0.1042602    
   116     1  -36.38609       0.000000      -37.24428      0.8581967      0.6984023E-04   22.05380      0.1035509      0.1032875    
   117     1  -36.37866       0.000000      -37.24496      0.8663085      0.7050036E-04   22.26225      0.1011823      0.1002839    
   118     1  -36.38041       0.000000      -37.24488      0.8644639      0.7035025E-04   22.21485      0.9918070E-01  0.1002704    
   119     1  -36.38171       0.000000      -37.24412      0.8624126      0.7018332E-04   22.16214      0.9798487E-01  0.9587456E-01
   120     1  -36.37343       0.000000      -37.24448      0.8710575      0.7088684E-04   22.38429      0.9797171E-01  0.9301763E-01
   121     1  -36.38472       0.000000      -37.24547      0.8607484      0.7004789E-04   22.11937      0.9878081E-01  0.9071902E-01
   122     1  -36.39411       0.000000      -37.24820      0.8540855      0.6950565E-04   21.94815      0.9984042E-01  0.9123196E-01
   123     1  -36.38291       0.000000      -37.24953      0.8666245      0.7052608E-04   22.27037      0.9890681E-01  0.9393787E-01
   124     1  -36.38316       0.000000      -37.24879      0.8656319      0.7044531E-04   22.24487      0.9719533E-01  0.9714869E-01
   125     1  -36.38089       0.000000      -37.24866      0.8677758      0.7061977E-04   22.29996      0.9517795E-01  0.1000623    
   126     1  -36.38909       0.000000      -37.24845      0.8593587      0.6993479E-04   22.08366      0.9349642E-01  0.1002062    
   127     1  -36.39001       0.000000      -37.24840      0.8583891      0.6985588E-04   22.05874      0.9445253E-01  0.9668361E-01
   128     1  -36.40225       0.000000      -37.24766      0.8454068      0.6879938E-04   21.72513      0.9513120E-01  0.9796408E-01
   129     1  -36.39204       0.000000      -37.24907      0.8570288      0.6974518E-04   22.02379      0.9484351E-01  0.1058647    
   130     1  -36.37896       0.000000      -37.24911      0.8701563      0.7081350E-04   22.36114      0.9495186E-01  0.1074027    
   131     1  -36.38634       0.000000      -37.24685      0.8605118      0.7002863E-04   22.11329      0.9511925E-01  0.1068731    
   132     1  -36.38932       0.000000      -37.24494      0.8556180      0.6963037E-04   21.98753      0.9653950E-01  0.1087667    
   133     1  -36.39113       0.000000      -37.24380      0.8526722      0.6939064E-04   21.91183      0.9829533E-01  0.1102530    
   134     1  -36.38555       0.000000      -37.24327      0.8577252      0.6980186E-04   22.04168      0.1016696      0.1093284    
   135     1  -36.38377       0.000000      -37.24247      0.8587050      0.6988159E-04   22.06686      0.1053404      0.1094953    
   136     1  -36.38464       0.000000      -37.24312      0.8584888      0.6986399E-04   22.06130      0.1073818      0.1110355    
   137     1  -36.38203       0.000000      -37.24515      0.8631260      0.7024138E-04   22.18047      0.1075296      0.1132712    
   138     1  -36.38369       0.000000      -37.24608      0.8623911      0.7018156E-04   22.16159      0.1075458      0.1087734    
   139     1  -36.38317       0.000000      -37.24618      0.8630157      0.7023240E-04   22.17764      0.1047554      0.1076854    
   140     1  -36.38657       0.000000      -37.24693      0.8603592      0.7001621E-04   22.10937      0.9868400E-01  0.1105713    
   141     1  -36.38248       0.000000      -37.24742      0.8649384      0.7038887E-04   22.22705      0.9156598E-01  0.1128278    
   142     1  -36.38548       0.000000      -37.24766      0.8621767      0.7016412E-04   22.15608      0.8684803E-01  0.1131997    
   143     1  -36.37784       0.000000      -37.24831      0.8704671      0.7083880E-04   22.36912      0.8467481E-01  0.1205947    
   144     1  -36.38323       0.000000      -37.24805      0.8648152      0.7037884E-04   22.22388      0.8532749E-01  0.1199980    
   145     1  -36.37836       0.000000      -37.24640      0.8680331      0.7064071E-04   22.30657      0.8836813E-01  0.1161890    
   146     1  -36.39011       0.000000      -37.24755      0.8574417      0.6977878E-04   22.03440      0.9257250E-01  0.1154155    
   147     1  -36.39420       0.000000      -37.24955      0.8553524      0.6960876E-04   21.98071      0.9652289E-01  0.1151053    
   148     1  -36.38982       0.000000      -37.25223      0.8624117      0.7018324E-04   22.16212      0.1002185      0.1136292    
